Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
1,2,Justin Shadek,Drew Burress,In Play Ground Out,91.2737,7.822,14.0704,34.1555,-10.8852,13.4171,,,,,True,Shadek Justin,,92.68,51.5444,1.056,4.7067,0.429,30.0177,16.9881,12.0062
1,3,Justin Shadek,Carson Kerce,In Play Out,96.3282,,15.7515,86.3912,23.6847,269.0912,,,,,True,,95.34,90.94,36.9056,1.452,2.4504,,,,11.8235
1,5,Porter Buursema,Alex Hernandez,Ball Called,88.7231,,0.2774,,,,19.3058,14.5843,23.8731,33.9008,True,Rogers Drew,,,,,,0.561,78.1659,124.4394,2.6283
1,5,Porter Buursema,Alex Hernandez,In Play Out,94.55,4.958,17.7392,,60.6949,144.3699,,,,,True,,,27.13,12.7931,1.485,48.202,,,,8.1667
2,7,Justin Shadek,Caleb Daniel,In Play Fly Out,94.4059,5.085,16.5222,106.589,43.7698,262.8509,,,,,True,,99.96,91.17,60.0957,2.475,28.0996,,,,12.2485
2,8,Justin Shadek,Ryan Zuckerman,In Play Ground Out,89.3718,4.856,16.8793,110.6732,-19.1828,6.2793,,,,,True,,,99.27,20.8421,0.858,16.7894,1.221,56.1452,65.8754,10.4626
2,11,Justin Shadek,Michael Dee,In Play Fly Out,90.5648,5.145,17.9025,95.1421,26.8906,350.3687,15.4536,17.2935,20.1005,22.7817,True,,97.33,93.68,52.4927,1.287,26.7172,,,,14.9329
3,15,Carson Ballard,Kent Schmidt,In Play Single,84.7657,4.357,17.8965,50.2242,-34.6491,3.179,,,,,True,,,95.25,40.4137,0.957,1.682,0.792,74.3533,81.7969,13.1208
3,17,Carson Ballard,Dominic Stephenson,In Play Single,86.5959,4.963,16.9113,98.3184,-0.1313,50.8816,15.4405,9.8175,18.0995,19.7346,True,,,95.76,50.9493,1.089,21.4535,1.584,56.5844,110.921,11.2747
3,18,Carson Ballard,Carson Kerce,In Play Fielders Choice,85.6504,4.553,18.2478,64.0669,-22.3589,7.0745,15.1684,14.6796,16.4465,18.7746,True,,,95.00,16.4709,1.122,19.136,0.792,51.1027,45.038,12.5801
3,19,Carson Ballard,Caleb Daniel,Ball Called Undefined,90.9253,,3.2035,,,,12.332,16.2134,20.821,23.3604,True,Lackey Vahn,,,,,,,,,8.2845
3,20,Tate McKee,Judson Hartwell,In Play Out,91.7068,,15.0439,92.5937,18.4505,288.6825,,,,,True,,97.11,96.17,26.097,1.023,1.5587,,,,9.0495
3,21,Tate McKee,Nathanael Coupet,In Play Single,81.5719,5.14,15.4383,91.2622,15.7395,189.6926,,,,,True,,0.00,95.97,46.1241,0.99,5.4016,1.518,56.7516,104.0752,12.1437
