Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
1,1,Brady Jones,Lucas Moore,Ball,94.4011,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Brady Jones,Lucas Moore,Ball,94.5557,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Brady Jones,Lucas Moore,Ball,94.603,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Brady Jones,Lucas Moore,Strike Looking,93.2282,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Brady Jones,Lucas Moore,Strike Swinging,88.8725,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Brady Jones,Lucas Moore,Ball Walk,95.4355,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,2,Brady Jones,Alex Alicea,Ball,87.6505,,,,,,,13.8035,16.4396,18.726,True,Lackey Vahn,,,,,,,,,
1,2,Brady Jones,Alex Alicea,Ball,94.8701,,0.2239,,,,19.8284,14.6305,23.0437,32.2642,True,Lackey Vahn,,,,,,0.66,76.9108,126.4367,4.0768
1,2,Brady Jones,Alex Alicea,Foul Ball,85.6965,,,,,,,19.4413,25.3584,26.1124,False,,,,,,,,,,
1,2,Brady Jones,Alex Alicea,In Play Sacrifice Bunt,88.1104,4.171,18.401,24.9694,-30.3777,5.4405,17.4354,17.8832,19.3597,22.1029,True,Jones Brady,,99.52,21.597,0.495,6.8563,0.825,75.3887,72.97,9.6576
1,3,Brady Jones,Zion Rose,Strike Looking,96.231,,,,,,,11.7065,14.8567,17.4442,True,Lackey Vahn,,,,,,,,,
1,3,Brady Jones,Zion Rose,In Play Fly Out,90.4585,,10.4195,97.3258,81.8071,49.523,6.0633,11.7507,15.129,17.5698,True,Lackey Vahn,,88.02,47.8877,1.683,17.8521,,,,8.7088
