Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
1,1,Jaylen Paden,Lucas Moore,Ball,90.7634,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,Strike Looking,93.1322,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,Foul Ball,93.542,,,,,,,,,,False,,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,Foul Ball,92.0514,,,,,,,,,,False,,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,Ball,92.3936,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,Ball,82.8391,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,1,Jaylen Paden,Lucas Moore,In Play Fly Out,93.1595,,17.9347,99.7729,23.6695,324.1415,,,,,True,Hernandez Alex,94.06,87.97,32.732,1.716,6.9267,,,,12.8033
1,2,Jaylen Paden,Alex Alicea,In Play Fly Out,82.4016,,15.3038,34.1583,63.0938,49.2391,,,,,True,Paden Jaylen,,72.20,6.3211,1.056,25.9164,,,,3.5147
1,3,Jaylen Paden,Zion Rose,Strike Looking,83.0823,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
1,3,Jaylen Paden,Zion Rose,Foul Ball,81.0751,,,,,,,,,,False,,,,,,,,,,
1,3,Jaylen Paden,Zion Rose,Foul Ball Undefined,95.6177,,,,,,,,,,False,,,,,,,,,,
1,4,Jaylen Paden,Jake Munroe,Strike Looking,92.3265,,,,,,,12.7793,17.3881,21.4633,True,Lackey Vahn,,,,,,,,,
1,4,Jaylen Paden,Jake Munroe,Ball,90.9744,,,,,,,12.8645,16.8349,20.9319,True,Lackey Vahn,,,,,,,,,
